,H(i+1),H(i-1),H(j+1),H(j-1),HilbertIndex,XIndex,YIndex
0,3.0,-1.0,1.0,-1.0,0.0,0.0,0.0
1,2.0,-1.0,18.0,0.0,1.0,0.0,1.0
2,9.0,1.0,17.0,3.0,2.0,1.0,1.0
3,4.0,0.0,2.0,-1.0,3.0,1.0,0.0
4,5.0,3.0,9.0,-1.0,4.0,2.0,0.0
5,6.0,4.0,8.0,-1.0,5.0,3.0,0.0
6,59.0,5.0,7.0,-1.0,6.0,4.0,0.0
7,58.0,8.0,12.0,6.0,7.0,4.0,1.0
8,7.0,9.0,11.0,5.0,8.0,3.0,1.0
9,8.0,2.0,10.0,4.0,9.0,2.0,1.0
10,11.0,17.0,15.0,9.0,10.0,2.0,2.0
11,12.0,10.0,14.0,8.0,11.0,3.0,2.0
12,57.0,11.0,13.0,7.0,12.0,4.0,2.0
13,56.0,14.0,36.0,12.0,13.0,4.0,3.0
14,13.0,15.0,35.0,11.0,14.0,3.0,3.0
15,14.0,16.0,22.0,10.0,15.0,2.0,3.0
16,15.0,19.0,21.0,17.0,16.0,1.0,3.0
17,10.0,18.0,16.0,2.0,17.0,1.0,2.0
18,17.0,-1.0,19.0,1.0,18.0,0.0,2.0
19,16.0,-1.0,20.0,18.0,19.0,0.0,3.0
20,21.0,-1.0,25.0,19.0,20.0,0.0,4.0
21,22.0,20.0,24.0,16.0,21.0,1.0,4.0
22,35.0,21.0,23.0,15.0,22.0,2.0,4.0
23,34.0,24.0,30.0,22.0,23.0,2.0,5.0
24,23.0,25.0,29.0,21.0,24.0,1.0,5.0
25,24.0,-1.0,26.0,20.0,25.0,0.0,5.0
26,29.0,-1.0,27.0,25.0,26.0,0.0,6.0
27,28.0,-1.0,256.0,26.0,27.0,0.0,7.0
28,31.0,27.0,255.0,29.0,28.0,1.0,7.0
29,30.0,26.0,28.0,24.0,29.0,1.0,6.0
30,33.0,29.0,31.0,23.0,30.0,2.0,6.0
31,32.0,28.0,252.0,30.0,31.0,2.0,7.0
32,43.0,31.0,251.0,33.0,32.0,3.0,7.0
33,42.0,30.0,32.0,34.0,33.0,3.0,6.0
34,41.0,23.0,33.0,35.0,34.0,3.0,5.0
35,36.0,22.0,34.0,14.0,35.0,3.0,4.0
36,37.0,35.0,41.0,13.0,36.0,4.0,4.0
37,38.0,36.0,40.0,56.0,37.0,5.0,4.0
38,51.0,37.0,39.0,55.0,38.0,6.0,4.0
39,50.0,40.0,46.0,38.0,39.0,6.0,5.0
40,39.0,41.0,45.0,37.0,40.0,5.0,5.0
41,40.0,34.0,42.0,36.0,41.0,4.0,5.0
42,45.0,33.0,43.0,41.0,42.0,4.0,6.0
43,44.0,32.0,240.0,42.0,43.0,4.0,7.0
44,47.0,43.0,239.0,45.0,44.0,5.0,7.0
45,46.0,42.0,44.0,40.0,45.0,5.0,6.0
46,49.0,45.0,47.0,39.0,46.0,6.0,6.0
47,48.0,44.0,236.0,46.0,47.0,6.0,7.0
48,135.0,47.0,235.0,49.0,48.0,7.0,7.0
49,134.0,46.0,48.0,50.0,49.0,7.0,6.0
50,133.0,39.0,49.0,51.0,50.0,7.0,5.0
51,132.0,38.0,50.0,52.0,51.0,7.0,4.0
52,71.0,55.0,51.0,53.0,52.0,7.0,3.0
53,70.0,54.0,52.0,62.0,53.0,7.0,2.0
54,53.0,57.0,55.0,61.0,54.0,6.0,2.0
55,52.0,56.0,38.0,54.0,55.0,6.0,3.0
56,55.0,13.0,37.0,57.0,56.0,5.0,3.0
