,Index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.0,1.3353696642757279e-06,1.6081174623662464e-06,1.93657370086347e-06,2.332116767986384e-06,2.8084490753428323e-06,3.3820717371730065e-06,4.072856202310927e-06,4.9047326413508385e-06,5.906518936141877e-06,7.11291898948322e-06,8.56572493848612e-06,1.031526491870446e-05,1.2422146532510605e-05,1.4959356418986242e-05,1.801478865867451e-05,2.1694289602246182e-05,2.6125324602101405e-05,3.146139366990367e-05,3.7887349027350965e-05,4.562579876089471e-05,5.494481841595377e-05,6.616723767583927e-05,7.968182383472537e-05,9.595674948278211e-05,0.00011555581095131368,0.00013915795935763478,0.00016758082084457042,0.00020180902080323045,0.00024302829328740698,0.0002926665572386767,0.00035244338248569673,0.00042442955911992883
1,1.0,1.3353696642757279e-06,1.6081174623662464e-06,1.93657370086347e-06,2.332116767986384e-06,2.8084490753428323e-06,3.3820717371730065e-06,4.072856202310927e-06,4.9047326413508385e-06,5.906518936141877e-06,7.11291898948322e-06,8.56572493848612e-06,1.031526491870446e-05,1.2422146532510605e-05,1.4959356418986242e-05,1.801478865867451e-05,2.1694289602246182e-05,2.6125324602101405e-05,3.146139366990367e-05,3.7887349027350965e-05,4.562579876089471e-05,5.494481841595377e-05,6.616723767583927e-05,7.968182383472537e-05,9.595674948278211e-05,0.00011555581095131368,0.00013915795935763478,0.00016758082084457042,0.00020180902080323045,0.00024302829328740698,0.0002926665572386767,0.00035244338248569673,0.00042442955911992883
2,2.0,1.3353696642757279e-06,1.6081174623662464e-06,1.93657370086347e-06,2.332116767986384e-06,2.8084490753428323e-06,3.3820717371730065e-06,4.072856202310927e-06,4.9047326413508385e-06,5.906518936141877e-06,7.11291898948322e-06,8.56572493848612e-06,1.031526491870446e-05,1.2422146532510605e-05,1.4959356418986242e-05,1.801478865867451e-05,2.1694289602246182e-05,2.6125324602101405e-05,3.146139366990367e-05,3.7887349027350965e-05,4.562579876089471e-05,5.494481841595377e-05,6.616723767583927e-05,7.968182383472537e-05,9.595674948278211e-05,0.00011555581095131368,0.00013915795935763478,0.00016758082084457042,0.00020180902080323045,0.00024302829328740698,0.0002926665572386767,0.00035244338248569673,0.00042442955911992883
3,3.0,1.3353696642757279e-06,1.6081174623662464e-06,1.93657370086347e-06,2.332116767986384e-06,2.8084490753428323e-06,3.3820717371730065e-06,4.072856202310927e-06,4.9047326413508385e-06,5.906518936141877e-06,7.11291898948322e-06,8.56572493848612e-06,1.031526491870446e-05,1.2422146532510605e-05,1.4959356418986242e-05,1.801478865867451e-05,2.1694289602246182e-05,2.6125324602101405e-05,3.146139366990367e-05,3.7887349027350965e-05,4.562579876089471e-05,5.494481841595377e-05,6.616723767583927e-05,7.968182383472537e-05,9.595674948278211e-05,0.00011555581095131368,0.00013915795935763478,0.00016758082084457042,0.00020180902080323045,0.00024302829328740698,0.0002926665572386767,0.00035244338248569673,0.00042442955911992883
4,4.0,1.3353696642757279e-06,1.6081174623662464e-06,1.93657370086347e-06,2.332116767986384e-06,2.8084490753428323e-06,3.3820717371730065e-06,4.072856202310927e-06,4.9047326413508385e-06,5.906518936141877e-06,7.11291898948322e-06,8.56572493848612e-06,1.031526491870446e-05,1.2422146532510605e-05,1.4959356418986242e-05,1.801478865867451e-05,2.1694289602246182e-05,2.6125324602101405e-05,3.146139366990367e-05,3.7887349027350965e-05,4.562579876089471e-05,5.494481841595377e-05,6.616723767583927e-05,7.968182383472537e-05,9.595674948278211e-05,0.00011555581095131368,0.00013915795935763478,0.00016758082084457042,0.00020180902080323045,0.00024302829328740698,0.0002926665572386767,0.00035244338248569673,0.00042442955911992883
5,5.0,1.3353696642757279e-06,1.6081174623662464e-06,1.93657370086347e-06,2.332116767986384e-06,2.8084490753428323e-06,3.3820717371730065e-06,4.072856202310927e-06,4.9047326413508385e-06,5.906518936141877e-06,7.11291898948322e-06,8.56572493848612e-06,1.031526491870446e-05,1.2422146532510605e-05,1.4959356418986242e-05,1.801478865867451e-05,2.1694289602246182e-05,2.6125324602101405e-05,3.146139366990367e-05,3.7887349027350965e-05,4.562579876089471e-05,5.494481841595377e-05,6.616723767583927e-05,7.968182383472537e-05,9.595674948278211e-05,0.00011555581095131368,0.00013915795935763478,0.00016758082084457042,0.00020180902080323045,0.00024302829328740698,0.0002926665572386767,0.00035244338248569673,0.00042442955911992883
6,6.0,1.3353696642757279e-06,1.6081174623662464e-06,1.93657370086347e-06,2.332116767986384e-06,2.8084490753428323e-06,3.3820717371730065e-06,4.072856202310927e-06,4.9047326413508385e-06,5.906518936141877e-06,7.11291898948322e-06,8.56572493848612e-06,1.031526491870446e-05,1.2422146532510605e-05,1.4959356418986242e-05,1.801478865867451e-05,2.1694289602246182e-05,2.6125324602101405e-05,3.146139366990367e-05,3.7887349027350965e-05,4.562579876089471e-05,5.494481841595377e-05,6.616723767583927e-05,7.968182383472537e-05,9.595674948278211e-05,0.00011555581095131368,0.00013915795935763478,0.00016758082084457042,0.00020180902080323045,0.00024302829328740698,0.0002926665572386767,0.00035244338248569673,0.00042442955911992883
7,7.0,1.3353696642757279e-06,1.6081174623662464e-06,1.93657370086347e-06,2.332116767986384e-06,2.8084490753428323e-06,3.3820717371730065e-06,4.072856202310927e-06,4.9047326413508385e-06,5.906518936141877e-06,7.11291898948322e-06,8.56572493848612e-06,1.031526491870446e-05,1.2422146532510605e-05,1.4959356418986242e-05,1.801478865867451e-05,2.1694289602246182e-05,2.6125324602101405e-05,3.146139366990367e-05,3.7887349027350965e-05,4.562579876089471e-05,5.494481841595377e-05,6.616723767583927e-05,7.968182383472537e-05,9.595674948278211e-05,0.00011555581095131368,0.00013915795935763478,0.00016758082084457042,0.00020180902080323045,0.00024302829328740698,0.0002926665572386767,0.00035244338248569673,0.00042442955911992883
8,8.0,1.3353696642757279e-06,1.6081174623662464e-06,1.93657370086347e-06,2.332116767986384e-06,2.8084490753428323e-06,3.3820717371730065e-06,4.072856202310927e-06,4.9047326413508385e-06,5.906518936141877e-06,7.11291898948322e-06,8.56572493848612e-06,1.031526491870446e-05,1.2422146532510605e-05,1.4959356418986242e-05,1.801478865867451e-05,2.1694289602246182e-05,2.6125324602101405e-05,3.146139366990367e-05,3.7887349027350965e-05,4.562579876089471e-05,5.494481841595377e-05,6.616723767583927e-05,7.968182383472537e-05,9.595674948278211e-05,0.00011555581095131368,0.00013915795935763478,0.00016758082084457042,0.00020180902080323045,0.00024302829328740698,0.0002926665572386767,0.00035244338248569673,0.00042442955911992883
9,9.0,1.3353696642757279e-06,1.6081174623662464e-06,1.93657370086347e-06,2.332116767986384e-06,2.8084490753428323e-06,3.3820717371730065e-06,4.072856202310927e-06,4.9047326413508385e-06,5.906518936141877e-06,7.11291898948322e-06,8.56572493848612e-06,1.031526491870446e-05,1.2422146532510605e-05,1.4959356418986242e-05,1.801478865867451e-05,2.1694289602246182e-05,2.6125324602101405e-05,3.146139366990367e-05,3.7887349027350965e-05,4.562579876089471e-05,5.494481841595377e-05,6.616723767583927e-05,7.968182383472537e-05,9.595674948278211e-05,0.00011555581095131368,0.00013915795935763478,0.00016758082084457042,0.00020180902080323045,0.00024302829328740698,0.0002926665572386767,0.00035244338248569673,0.00042442955911992883
