,H(i+1),H(i-1),H(j+1),H(j-1),HilbertIndex,XIndex,YIndex
0,1.0,-1.0,5.0,-1.0,0.0,0.0,0.0
1,2.0,0.0,4.0,-1.0,1.0,1.0,0.0
2,15.0,1.0,3.0,-1.0,2.0,2.0,0.0
3,14.0,4.0,10.0,2.0,3.0,2.0,1.0
4,3.0,5.0,9.0,1.0,4.0,1.0,1.0
5,4.0,-1.0,6.0,0.0,5.0,0.0,1.0
6,9.0,-1.0,7.0,5.0,6.0,0.0,2.0
7,8.0,-1.0,-1.0,6.0,7.0,0.0,3.0
8,11.0,7.0,-1.0,9.0,8.0,1.0,3.0
9,10.0,6.0,8.0,4.0,9.0,1.0,2.0
10,13.0,9.0,11.0,3.0,10.0,2.0,2.0
11,12.0,8.0,-1.0,10.0,11.0,2.0,3.0
12,23.0,11.0,-1.0,13.0,12.0,3.0,3.0
13,22.0,10.0,12.0,14.0,13.0,3.0,2.0
14,21.0,3.0,13.0,15.0,14.0,3.0,1.0
15,16.0,2.0,14.0,-1.0,15.0,3.0,0.0
16,17.0,15.0,21.0,-1.0,16.0,4.0,0.0
17,18.0,16.0,20.0,-1.0,17.0,5.0,0.0
18,31.0,17.0,19.0,-1.0,18.0,6.0,0.0
19,30.0,20.0,26.0,18.0,19.0,6.0,1.0
20,19.0,21.0,25.0,17.0,20.0,5.0,1.0
21,20.0,14.0,22.0,16.0,21.0,4.0,1.0
22,25.0,13.0,23.0,21.0,22.0,4.0,2.0
23,24.0,12.0,-1.0,22.0,23.0,4.0,3.0
24,27.0,23.0,-1.0,25.0,24.0,5.0,3.0
25,26.0,22.0,24.0,20.0,25.0,5.0,2.0
26,29.0,25.0,27.0,19.0,26.0,6.0,2.0
27,28.0,24.0,-1.0,26.0,27.0,6.0,3.0
28,-1.0,27.0,-1.0,29.0,28.0,7.0,3.0
29,-1.0,26.0,28.0,30.0,29.0,7.0,2.0
30,-1.0,19.0,29.0,31.0,30.0,7.0,1.0
31,-1.0,18.0,30.0,-1.0,31.0,7.0,0.0
